Year	Month	Day	Hour	Min	Sec	s1	s2	s3
2002	6	13	0	0	0	0	0	0
2002	6	14	0	0	0	0	0	0
2002	6	15	0	0	0	0	0	2.54
2002	6	16	0	0	0	0	0	0
2002	6	17	0	0	0	3.81	2.032	0
2002	6	18	0	0	0	12.192	3.048	5.08
2002	6	19	0	0	0	1.778	0	2.54
2002	6	20	0	0	0	0	0	0
2002	6	21	0	0	0	0	0	0
2002	6	22	0	0	0	5.334	0.762	2.54
2002	6	23	0	0	0	0.508	0.762	2.54
2002	6	24	0	0	0	0	0	0
2002	6	25	0	0	0	0	0	2.54
2002	6	26	0	0	0	0	0	0
2002	6	27	0	0	0	0	0.508	0
2002	6	28	0	0	0	3.302	9.144	2.54
2002	6	29	0	0	0	3.302	2.032	0
2002	6	30	0	0	0	0	0	0
2002	7	1	0	0	0	0	0	0
2002	7	2	0	0	0	0	0	0
2002	7	3	0	0	0	0	0	2.54
2002	7	4	0	0	0	0	0	0
2002	7	5	0	0	0	0	0	0
2002	7	6	0	0	0	0	0	0
2002	7	7	0	0	0	20.574	0.762	2.54
2002	7	8	0	0	0	0	4.318	12.7
2002	7	9	0	0	0	0	0	0
2002	7	10	0	0	0	0.254	0	2.54
2002	7	11	0	0	0	0	0	0
2002	7	12	0	0	0	0	0	0
2002	7	13	0	0	0	0	0	17.78
2002	7	14	0	0	0	0	0	0
2002	7	15	0	0	0	0.762	0	0
2002	7	16	0	0	0	0	0	0
2002	7	17	0	0	0	0	0	0
2002	7	18	0	0	0	0.508	0	0
2002	7	19	0	0	0	0	0	0
2002	7	20	0	0	0	0	0	0
2002	7	21	0	0	0	0	0	0
2002	7	22	0	0	0	0	0	0
2002	7	23	0	0	0	0	0	0
2002	7	24	0	0	0	0	1.27	0
2002	7	25	0	0	0	0	0.762	0
2002	7	26	0	0	0	1.524	0	0
2002	7	27	0	0	0	5.842	0	5.08
2002	7	28	0	0	0	4.826	4.572	0
2002	7	29	0	0	0	0	0	0
2002	7	30	0	0	0	6.604	0	0
2002	7	31	0	0	0	0.254	0	0
2002	8	1	0	0	0	0	0	5.08
2002	8	2	0	0	0	0	0	0
2002	8	3	0	0	0	0.762	0	0
2002	8	4	0	0	0	4.318	0	2.54
2002	8	5	0	0	0	0	0	10.16
2002	8	6	0	0	0	4.318	0.762	5.08
2002	8	7	0	0	0	0	0	2.54
2002	8	8	0	0	0	13.462	0	15.24
2002	8	9	0	0	0	0	0	0
2002	8	10	0	0	0	0	0	0
2002	8	11	0	0	0	0	0	0
2002	8	12	0	0	0	0	0	0
2002	8	13	0	0	0	0	0	0
2002	8	14	0	0	0	0	0	0
2002	8	15	0	0	0	0	0	0
2002	8	16	0	0	0	0	0	2.54
2002	8	17	0	0	0	0.762	0	5.08
2002	8	18	0	0	0	0	0	0
2002	8	19	0	0	0	0	0	0
2002	8	20	0	0	0	0	0	2.54
2002	8	21	0	0	0	0	6.858	5.08
2002	8	22	0	0	0	0	23.114	2.54
2002	8	23	0	0	0	0	0	2.54
2002	8	24	0	0	0	0.254	0	0
2002	8	25	0	0	0	0.254	0	10.16
2002	8	26	0	0	0	0.762	1.524	0
2002	8	27	0	0	0	0	0	20.32
2002	8	28	0	0	0	0	0	0
2002	8	29	0	0	0	0	0	0
2002	8	30	0	0	0	6.096	0	0
2002	8	31	0	0	0	0.254	0	2.54
2002	9	1	0	0	0	0	0	0
2002	9	2	0	0	0	0	0	2.54
2002	9	3	0	0	0	0.508	0	0
2002	9	4	0	0	0	0.508	1.016	0
2002	9	5	0	0	0	2.286	0	2.54
2002	9	6	0	0	0	8.382	0	15.24
2002	9	7	0	0	0	2.286	0	0
2002	9	8	0	0	0	0	0	2.54
2002	9	9	0	0	0	0	0	0
2002	9	10	0	0	0	0	0	2.54
2002	9	11	0	0	0	0	0	0
2002	9	12	0	0	0	0	0	0
2002	9	13	0	0	0	0	0	0
2002	9	14	0	0	0	0	0	0
2002	9	15	0	0	0	0	0	0
2002	9	16	0	0	0	1.016	1.778	0
2002	9	17	0	0	0	13.716	9.144	0
2002	9	18	0	0	0	0	0	0
2002	9	19	0	0	0	0	0	2.54
2002	9	20	0	0	0	0	0	0
2002	9	21	0	0	0	0	0	0
2002	9	22	0	0	0	0	0	0
2002	9	23	0	0	0	0	0	0
2002	9	24	0	0	0	0	0	0
2002	9	25	0	0	0	0	0	0
2002	9	26	0	0	0	0	0.254	7.62
2002	9	27	0	0	0	0	0	10.16
2002	9	28	0	0	0	1.016	0.254	0
2002	9	29	0	0	0	1.016	2.032	10.16
2002	9	30	0	0	0	0.508	0	0
2002	10	1	0	0	0	0	0	0
2002	10	2	0	0	0	0	1.778	2.54
2002	10	3	0	0	0	0	2.794	2.54
2002	10	4	0	0	0	0.254	0.254	0
2002	10	5	0	0	0	0.254	0	15.24
2002	10	6	0	0	0	0	0	5.08
2002	10	7	0	0	0	0	0	0
2002	10	8	0	0	0	0	0	0
2002	10	9	0	0	0	0	0	0
2002	10	10	0	0	0	1.27	0	7.62
2002	10	11	0	0	0	0	0	0
2002	10	12	0	0	0	0	0	2.54
2002	10	13	0	0	0	0	0	2.54
2002	10	14	0	0	0	0	0	0
2002	10	15	0	0	0	0	0.508	0
2002	10	16	0	0	0	0	0	0
2002	10	17	0	0	0	0	0	2.54
2002	10	18	0	0	0	0	0	0
2002	10	19	0	0	0	0	0	0
2002	10	20	0	0	0	0	0	0
2002	10	21	0	0	0	0	0	0
2002	10	22	0	0	0	0	0	0
2002	10	23	0	0	0	0	0	0
2002	10	24	0	0	0	0	0	2.54
2002	10	25	0	0	0	0	0	0
2002	10	26	0	0	0	0	0	0
2002	10	27	0	0	0	0.254	0	2.54
2002	10	28	0	0	0	0	0	5.08
2002	10	29	0	0	0	0	0	7.62
2002	10	30	0	0	0	0	0	0
2002	10	31	0	0	0	0	0	5.08
2002	11	1	0	0	0	0	0	0
2002	11	2	0	0	0	0	0	0
2002	11	3	0	0	0	0	0	2.54
2002	11	4	0	0	0	0	0	0
2002	11	5	0	0	0	0	0	2.54
2002	11	6	0	0	0	0	0	0
2002	11	7	0	0	0	4.064	7.62	0
2002	11	8	0	0	0	0	12.192	2.54
2002	11	9	0	0	0	2.794	7.112	5.08
2002	11	10	0	0	0	0	0.254	0
2002	11	11	0	0	0	1.778	0	12.7
2002	11	12	0	0	0	2.286	3.81	2.54
2002	11	13	0	0	0	2.286	1.27	5.08
2002	11	14	0	0	0	0	2.032	5.08
2002	11	15	0	0	0	0	0	0
2002	11	16	0	0	0	0	0	0
2002	11	17	0	0	0	0	0	2.54
2002	11	18	0	0	0	0	3.81	2.54
2002	11	19	0	0	0	3.302	0	5.08
2002	11	20	0	0	0	0	0	0
2002	11	21	0	0	0	2.032	1.524	0
2002	11	22	0	0	0	0	0.254	0
2002	11	23	0	0	0	0	1.778	0
2002	11	24	0	0	0	0	0	0
2002	11	25	0	0	0	0	0	2.54
2002	11	26	0	0	0	0	0	5.08
2002	11	27	0	0	0	0	0	0
2002	11	28	0	0	0	0	0	2.54
2002	11	29	0	0	0	0	0	0
